rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
hairdresser → kiosk,hairdresser,kiosk,0.308,0.041,2.12,0.852,0.41,0.0072,4634,1156,1886
cinema → kiosk,cinema,kiosk,0.312,0.04,2.15,0.878,0.4,0.007,234,1156,93
food_court → sports_shop,food_court,sports_shop,0.32,0.036,2.93,0.844,0.36,0.0067,75,868,27
shoe_shop → dentist,shoe_shop,dentist,0.303,0.039,3.74,0.875,0.39,0.0067,710,645,279
chemist → kiosk,chemist,kiosk,0.306,0.037,2.11,0.821,0.37,0.0066,359,1156,132
bus_station → kiosk,bus_station,kiosk,0.309,0.036,2.13,0.834,0.36,0.0066,55,1156,20
mobile_phone_shop → stationery,mobile_phone_shop,stationery,0.315,0.036,10.07,0.858,0.36,0.0065,365,249,131
jeweller → toy_shop,jeweller,toy_shop,0.302,0.036,11.01,0.87,0.36,0.0061,842,218,300
mall → post_office,mall,post_office,0.302,0.03,1.79,0.806,0.3,0.0055,43,1345,13
newsagent → post_office,newsagent,post_office,0.305,0.031,1.81,0.852,0.31,0.0054,239,1345,74
